00000000-0000-0000-0000-00007b850016,1393
00000000-0000-0000-0000-00000a790016,969
00000000-0000-0000-0000-0000d7690016,824
00000000-0000-0000-0000-000060680016,754
00000000-0000-0000-0000-000004700016,747
00000000-0000-0000-0000-000067770016,726
00000000-0000-0000-0000-0000b66f0016,707
00000000-0000-0000-0000-00005b6a0016,564
00000000-0000-0000-0000-0000bc750016,543
00000000-0000-0000-0000-00001b710016,531
00000000-0000-0000-0000-00002c6d0016,521
96254b4d-4152-9449-a030-f75433cf6a1d,503
00000000-0000-0000-0000-0000f5770016,502
00000000-0000-0000-0000-0000e3740016,461
86760073-44fd-8d43-9129-ce8478992c17,451
00000000-0000-0000-0000-0000aa6f0016,438
00000000-0000-0000-0000-0000bf750016,436
00000000-0000-0000-0000-00008d780016,404
00000000-0000-0000-0000-0000726f0016,391
00000000-0000-0000-0000-0000f4770016,384
00000000-0000-0000-0000-0000b0730016,381
00000000-0000-0000-0000-0000be750016,377
00000000-0000-0000-0000-0000bd750016,372
00000000-0000-0000-0000-0000dc850016,366
00000000-0000-0000-0000-0000c46f0016,358
00000000-0000-0000-0000-0000c0750016,350
7a427d8a-68fe-48ac-a4e3-f3cf1549337a,334
00000000-0000-0000-0000-00009e670016,333
00000000-0000-0000-0000-000059780016,329
00000000-0000-0000-0000-000021780016,311
00000000-0000-0000-0000-0000e4740016,310
00000000-0000-0000-0000-00004c6a0016,303
00000000-0000-0000-0000-0000ad6f0016,290
00000000-0000-0000-0000-0000c16e0016,282
00000000-0000-0000-0000-000038840016,279
00000000-0000-0000-0000-0000a66a0016,279
00000000-0000-0000-0000-0000b2720016,278
00000000-0000-0000-0000-00006d770016,277
364a3d6e-8dfc-4066-9bd4-b589e9bf395c,269
00000000-0000-0000-0000-0000306d0016,267
00000000-0000-0000-0000-0000cc690016,267
00000000-0000-0000-0000-0000c7750016,258
00000000-0000-0000-0000-000069720016,256
00000000-0000-0000-0000-00005b780016,249
00000000-0000-0000-0000-0000ae6d0016,249
00000000-0000-0000-0000-000059850016,247
